Time Step,962,57509196680ns,59780869ns,7372388ns,783632255ns
Parallel Broadcast,111270,22770506968ns,204641ns,100ns,1561583ns
Boundary,48901,96033509ns,1963ns,1850ns,16920ns
dot Product,46977,9371052845ns,199481ns,197709ns,435068ns
Sequential Broadcast,442995,8403660026ns,18970ns,130ns,2604618ns
Residual Calculation,46977,4705114955ns,100157ns,99239ns,333118ns
Reduction,93954,21167943705ns,225301ns,197589ns,661518ns
Halo,1924,5448901ns,2832ns,1580ns,9060ns
MPI Communication Init,49863,1343591ns,26ns,19ns,4030ns
MPI Communication Wait,49863,3053558ns,61ns,39ns,6420ns
A dot Product,46977,11808942694ns,251377ns,246219ns,661728ns
CG Iteration,46977,52134435357ns,1109786ns,814017ns,1732162ns
Compute dt,962,385745491ns,400982ns,396688ns,447358ns
Pressure Solver,962,52974565561ns,55067115ns,2683499ns,778865976ns
