Time Step,962,9438658896ns,9811495ns,988945ns,186732427ns
Parallel Broadcast,87128,2825380968ns,32427ns,110ns,363578ns
Boundary,40678,11930358ns,293ns,260ns,34489ns
dot Product,38754,1254088572ns,32360ns,29250ns,469298ns
Sequential Broadcast,287632,1177482974ns,4093ns,80ns,606827ns
Residual Calculation,38754,730824825ns,18858ns,15350ns,137909ns
Reduction,77508,2653559248ns,34235ns,28199ns,130599ns
Halo,1924,2021099ns,1050ns,610ns,4710ns
MPI Communication Init,41640,32816097ns,788ns,520ns,95999ns
MPI Communication Wait,41640,184713288ns,4435ns,530ns,96439ns
A dot Product,38754,1669519044ns,43079ns,36820ns,269069ns
CG Iteration,38754,7114132128ns,183571ns,127599ns,527727ns
Compute dt,962,1529500156ns,1589917ns,63910ns,173596408ns
Pressure Solver,962,7258230025ns,7544937ns,258179ns,132319522ns
