Time Step,962,9429672747ns,9802154ns,986965ns,185765151ns
Parallel Broadcast,87128,2821241844ns,32380ns,110ns,362758ns
Boundary,40678,11977595ns,294ns,269ns,4820ns
dot Product,38754,1254668599ns,32375ns,29490ns,615577ns
Sequential Broadcast,287632,1176328707ns,4089ns,70ns,459718ns
Residual Calculation,38754,736921178ns,19015ns,15550ns,219259ns
Reduction,77508,2649159770ns,34179ns,28199ns,78430ns
Halo,1924,1918958ns,997ns,610ns,4870ns
MPI Communication Init,41640,32455242ns,779ns,520ns,37740ns
MPI Communication Wait,41640,193050352ns,4636ns,530ns,81740ns
A dot Product,38754,1661257969ns,42866ns,36680ns,168909ns
CG Iteration,38754,7113978116ns,183567ns,127490ns,520487ns
Compute dt,962,1519176389ns,1579185ns,63740ns,172603842ns
Pressure Solver,962,7257038303ns,7543698ns,259099ns,132320612ns
