Time Step,962,9431713317ns,9804275ns,988315ns,186004220ns
Parallel Broadcast,87128,2779229219ns,31898ns,110ns,364568ns
Boundary,40678,12320414ns,302ns,270ns,5190ns
dot Product,38754,1254462273ns,32369ns,29470ns,588117ns
Sequential Broadcast,287632,1177519158ns,4093ns,80ns,445028ns
Residual Calculation,38754,780379749ns,20136ns,15550ns,221509ns
Reduction,77508,2648288119ns,34167ns,28199ns,88360ns
Halo,1924,2124998ns,1104ns,620ns,5520ns
MPI Communication Init,41640,34201589ns,821ns,530ns,67390ns
MPI Communication Wait,41640,192245718ns,4616ns,540ns,77709ns
A dot Product,38754,1656364049ns,42740ns,36480ns,180879ns
CG Iteration,38754,7113877222ns,183564ns,127559ns,520357ns
Compute dt,962,1520829310ns,1580903ns,63740ns,172840061ns
Pressure Solver,962,7259043465ns,7545783ns,253648ns,132320772ns
