Time Step,962,9440902756ns,9813828ns,987905ns,186950806ns
Parallel Broadcast,90976,2828178414ns,31087ns,110ns,363368ns
Boundary,40678,23632081ns,580ns,530ns,8949ns
dot Product,38754,1250535881ns,32268ns,29559ns,602307ns
Sequential Broadcast,328310,1196218463ns,3643ns,70ns,431808ns
Residual Calculation,38754,732106229ns,18891ns,15439ns,219439ns
Reduction,77508,2705589086ns,34907ns,28969ns,83689ns
Halo,1924,1926149ns,1001ns,620ns,4690ns
MPI Communication Init,41640,15909665ns,382ns,260ns,22510ns
MPI Communication Wait,41640,117879133ns,2830ns,300ns,107589ns
A dot Product,38754,1727683689ns,44580ns,37410ns,179899ns
CG Iteration,38754,7114015677ns,183568ns,127110ns,529697ns
Compute dt,962,1534581906ns,1595199ns,64340ns,173820657ns
Pressure Solver,962,7254434970ns,7540992ns,249809ns,132316382ns
