Time Step,962,12137741299ns,12617194ns,1892812ns,195400873ns
Parallel Broadcast,75826,3312853272ns,43690ns,60ns,347558ns
Boundary,35027,18035138ns,514ns,470ns,5210ns
dot Product,33103,1755402200ns,53028ns,49790ns,455428ns
Sequential Broadcast,248075,2132632778ns,8596ns,70ns,685747ns
Residual Calculation,33103,1007292956ns,30429ns,25510ns,220819ns
Reduction,66206,3857270153ns,58261ns,49390ns,232839ns
Halo,1924,3021313ns,1570ns,900ns,8690ns
MPI Communication Init,35989,26780173ns,744ns,570ns,33589ns
MPI Communication Wait,35989,58992708ns,1639ns,370ns,108239ns
A dot Product,33103,2247032074ns,67880ns,62260ns,204069ns
CG Iteration,33103,9048293360ns,273337ns,187959ns,580897ns
Compute dt,962,1562654996ns,1624381ns,104769ns,171160762ns
Pressure Solver,962,9230471041ns,9595084ns,384599ns,192298167ns
