Time Step,490,1547502135ns,3158167ns,413738ns,47106699ns
Parallel Broadcast,34854,338055098ns,9699ns,50ns,89760ns
Boundary,15957,4821890ns,302ns,280ns,2990ns
dot Product,14977,207894073ns,13880ns,12770ns,445698ns
Sequential Broadcast,113169,226538439ns,2001ns,40ns,127490ns
Residual Calculation,14977,117466289ns,7843ns,6700ns,88469ns
Reduction,29954,435124861ns,14526ns,12449ns,97799ns
Halo,980,539988ns,551ns,480ns,2030ns
MPI Communication Init,16447,7389201ns,449ns,350ns,31369ns
MPI Communication Wait,16447,11035809ns,670ns,240ns,64510ns
A dot Product,14977,257431285ns,17188ns,15900ns,98249ns
CG Iteration,14977,1014299675ns,67723ns,45960ns,283088ns
Compute dt,490,369635216ns,754357ns,27370ns,39786605ns
Pressure Solver,490,1041349262ns,2125202ns,114920ns,23872663ns
