Time Step,490,1547022705ns,3157189ns,414138ns,47044969ns
Parallel Broadcast,34854,340631719ns,9773ns,40ns,101870ns
Boundary,15957,4741406ns,297ns,279ns,3220ns
dot Product,14977,205990872ns,13753ns,12759ns,445888ns
Sequential Broadcast,113169,228038770ns,2015ns,40ns,177300ns
Residual Calculation,14977,115548605ns,7715ns,6740ns,88359ns
Reduction,29954,438391395ns,14635ns,12449ns,112709ns
Halo,980,535288ns,546ns,490ns,2220ns
MPI Communication Init,16447,7326132ns,445ns,350ns,32569ns
MPI Communication Wait,16447,12151025ns,738ns,250ns,43830ns
A dot Product,14977,256819111ns,17147ns,15930ns,97009ns
CG Iteration,14977,1014309066ns,67724ns,45980ns,282978ns
Compute dt,490,368882075ns,752820ns,27240ns,39730135ns
Pressure Solver,490,1040552535ns,2123576ns,116490ns,23873873ns
