Time Step,490,1545144654ns,3153356ns,414168ns,46846070ns
Parallel Broadcast,34854,344182238ns,9874ns,40ns,105969ns
Boundary,15957,4540123ns,284ns,260ns,8840ns
dot Product,14977,204806172ns,13674ns,12750ns,208409ns
Sequential Broadcast,113169,230253546ns,2034ns,40ns,285439ns
Residual Calculation,14977,111535834ns,7447ns,6699ns,88249ns
Reduction,29954,439576267ns,14675ns,12449ns,38590ns
Halo,980,566728ns,578ns,480ns,3810ns
MPI Communication Init,16447,7730109ns,470ns,340ns,15140ns
MPI Communication Wait,16447,11550704ns,702ns,240ns,64450ns
A dot Product,14977,256587373ns,17132ns,15930ns,93229ns
CG Iteration,14977,1014306147ns,67724ns,46010ns,281568ns
Compute dt,490,366911285ns,748798ns,27260ns,39535586ns
Pressure Solver,490,1038995857ns,2120399ns,114750ns,23871823ns
