Time Step,1892,197141913307ns,104197628ns,7640447ns,1402047356ns
Parallel Broadcast,383732,78199671250ns,203787ns,190ns,2021279ns
Boundary,182406,232358124ns,1273ns,1050ns,37100ns
dot Product,178622,31108063050ns,174155ns,161790ns,2237727ns
Sequential Broadcast,1464924,22050541141ns,15052ns,230ns,2340599ns
Residual Calculation,178622,17518723874ns,98077ns,81990ns,1102810ns
Reduction,357244,68905753466ns,192881ns,161210ns,512890ns
Halo,3784,17745027ns,4689ns,2200ns,46760ns
MPI Communication Init,184298,197556781ns,1071ns,500ns,36210ns
MPI Communication Wait,184298,923992450ns,5013ns,650ns,452979ns
A dot Product,178622,40152266168ns,224789ns,202211ns,603200ns
CG Iteration,178622,179308908165ns,1003845ns,690119ns,2763730ns
Compute dt,1892,6748469123ns,3566844ns,346170ns,658358461ns
Pressure Solver,1892,182691506630ns,96559992ns,2950589ns,1389918649ns
