Time Step,1892,309225212669ns,163438273ns,8471285ns,1706039978ns
Parallel Broadcast,491748,125959918011ns,256147ns,100ns,2118198ns
Boundary,240198,286270652ns,1191ns,950ns,94871ns
dot Product,236414,49651800685ns,210020ns,198511ns,2229858ns
Sequential Broadcast,1687062,31842387040ns,18874ns,180ns,2843065ns
Residual Calculation,236414,28688263259ns,121347ns,100040ns,1136665ns
Reduction,472828,110152864354ns,232966ns,196962ns,685662ns
Halo,3784,28808350ns,7613ns,3300ns,40020ns
MPI Communication Init,242090,321535949ns,1328ns,780ns,66840ns
MPI Communication Wait,242090,1800934077ns,7439ns,1110ns,466832ns
A dot Product,236414,63750086764ns,269654ns,249322ns,816834ns
CG Iteration,236414,289190589903ns,1223238ns,863863ns,3666708ns
Compute dt,1892,6921031468ns,3658050ns,437790ns,673691241ns
Pressure Solver,1892,293303386089ns,155022931ns,3224385ns,1692495573ns
