Time Step,1892,303317780420ns,160315951ns,8440335ns,1698028196ns
Parallel Broadcast,491748,126056968831ns,256344ns,100ns,2187061ns
Boundary,240198,254308606ns,1058ns,860ns,64201ns
dot Product,236414,49765793671ns,210502ns,198411ns,2661837ns
Sequential Broadcast,1687062,31946823447ns,18936ns,170ns,2778549ns
Residual Calculation,236414,28446167959ns,120323ns,100301ns,1190983ns
Reduction,472828,110245808037ns,233162ns,196932ns,649803ns
Halo,3784,25362426ns,6702ns,3130ns,24090ns
MPI Communication Init,242090,381339534ns,1575ns,890ns,98990ns
MPI Communication Wait,242090,1750477653ns,7230ns,990ns,762284ns
A dot Product,236414,63655620204ns,269254ns,249972ns,794614ns
CG Iteration,236414,289193809247ns,1223251ns,865123ns,3660328ns
Compute dt,1892,1011891178ns,534826ns,443550ns,840182ns
Pressure Solver,1892,293262576126ns,155001361ns,3210465ns,1692235101ns
