Time Step,1892,309244296089ns,163448359ns,8458945ns,1705565304ns
Parallel Broadcast,491748,125658700943ns,255534ns,100ns,2004308ns
Boundary,240198,282890245ns,1177ns,960ns,68061ns
dot Product,236414,49745075782ns,210415ns,198431ns,1506048ns
Sequential Broadcast,1687062,31939534525ns,18932ns,190ns,2847605ns
Residual Calculation,236414,28875407677ns,122139ns,101061ns,1098785ns
Reduction,472828,110297371280ns,233271ns,197112ns,701094ns
Halo,3784,27744443ns,7332ns,3040ns,84940ns
MPI Communication Init,242090,364997216ns,1507ns,860ns,64430ns
MPI Communication Wait,242090,1794308408ns,7411ns,1010ns,755594ns
A dot Product,236414,63619174784ns,269100ns,249872ns,778784ns
CG Iteration,236414,289194807779ns,1223255ns,862765ns,3666209ns
Compute dt,1892,6932534886ns,3664130ns,438751ns,675707700ns
Pressure Solver,1892,293303896042ns,155023200ns,3128455ns,1692584654ns
