Time Step,490,756046527ns,1542952ns,325399ns,20400020ns
Parallel Broadcast,28256,203410422ns,7198ns,60ns,57670ns
Boundary,11678,4328685ns,370ns,340ns,3250ns
dot Product,10698,127612695ns,11928ns,10500ns,291959ns
Sequential Broadcast,94894,161845009ns,1705ns,50ns,109030ns
Residual Calculation,10698,73902022ns,6908ns,5630ns,110310ns
Reduction,21396,251264564ns,11743ns,10039ns,73230ns
Halo,980,471297ns,480ns,400ns,3440ns
MPI Communication Init,12168,3723443ns,306ns,180ns,16560ns
MPI Communication Wait,12168,9484084ns,779ns,170ns,35280ns
A dot Product,10698,154759074ns,14466ns,12770ns,86560ns
CG Iteration,10698,608696692ns,56898ns,38270ns,162579ns
Compute dt,490,12797083ns,26116ns,23190ns,67740ns
Pressure Solver,490,632429591ns,1290672ns,79210ns,20108611ns
