Time Step,490,1113298081ns,2272036ns,342149ns,42260332ns
Parallel Broadcast,28256,202391127ns,7162ns,60ns,71019ns
Boundary,11678,4311344ns,369ns,350ns,3500ns
dot Product,10698,125550421ns,11735ns,10540ns,315719ns
Sequential Broadcast,94894,164762069ns,1736ns,50ns,95139ns
Residual Calculation,10698,75004659ns,7011ns,5610ns,83530ns
Reduction,21396,255238277ns,11929ns,10229ns,81510ns
Halo,980,454676ns,463ns,410ns,1410ns
MPI Communication Init,12168,3471719ns,285ns,200ns,5190ns
MPI Communication Wait,12168,7762454ns,637ns,180ns,36990ns
A dot Product,10698,155871520ns,14570ns,12880ns,87050ns
CG Iteration,10698,608785074ns,56906ns,38200ns,162539ns
Compute dt,490,370008420ns,755119ns,23280ns,40080993ns
Pressure Solver,490,631071362ns,1287900ns,75990ns,20106411ns
