Time Step,490,1111773070ns,2268924ns,320469ns,42088043ns
Parallel Broadcast,26296,203264720ns,7729ns,80ns,88960ns
Boundary,11678,2633106ns,225ns,200ns,64340ns
dot Product,10698,126369056ns,11812ns,10560ns,305778ns
Sequential Broadcast,83216,161782362ns,1944ns,50ns,136749ns
Residual Calculation,10698,73758996ns,6894ns,5580ns,113770ns
Reduction,21396,250167411ns,11692ns,9849ns,105390ns
Halo,980,475475ns,485ns,400ns,1750ns
MPI Communication Init,12168,7209603ns,592ns,370ns,33190ns
MPI Communication Wait,12168,10974743ns,901ns,300ns,40380ns
A dot Product,10698,151937169ns,14202ns,12660ns,91629ns
CG Iteration,10698,608638193ns,56892ns,38210ns,162649ns
Compute dt,490,368200731ns,751430ns,23180ns,39906154ns
Pressure Solver,490,631481468ns,1288737ns,78680ns,20106411ns
