Time Step,962,30699108465ns,31911755ns,3181136ns,400783643ns
Parallel Broadcast,106756,11380316472ns,106601ns,100ns,919805ns
Boundary,48568,49442290ns,1018ns,930ns,18190ns
dot Product,46644,4713904474ns,101061ns,99089ns,347528ns
Sequential Broadcast,391430,4296731428ns,10977ns,130ns,1532443ns
Residual Calculation,46644,2476832930ns,53100ns,50199ns,115039ns
Reduction,93288,10632831720ns,113978ns,98799ns,375899ns
Halo,1924,4479280ns,2328ns,1000ns,13240ns
MPI Communication Init,49530,18988143ns,383ns,260ns,11740ns
MPI Communication Wait,49530,141644373ns,2859ns,270ns,76039ns
A dot Product,46644,5988414173ns,128385ns,123430ns,376279ns
CG Iteration,46644,26417098367ns,566355ns,411438ns,916596ns
Compute dt,962,1630816776ns,1695235ns,201769ns,164264269ns
Pressure Solver,962,26950819730ns,28015405ns,801726ns,396366283ns
