Time Step,490,1888423048ns,3853924ns,521307ns,45871265ns
Parallel Broadcast,34768,468124261ns,13464ns,120ns,81329ns
Boundary,15914,4487967ns,282ns,260ns,3030ns
dot Product,14934,262977509ns,17609ns,16960ns,81300ns
Sequential Broadcast,112868,291085343ns,2578ns,70ns,326589ns
Residual Calculation,14934,145023390ns,9710ns,8789ns,43500ns
Reduction,29868,560350528ns,18760ns,16399ns,54190ns
Halo,980,526377ns,537ns,460ns,1560ns
MPI Communication Init,16404,9291518ns,566ns,390ns,18090ns
MPI Communication Wait,16404,12771766ns,778ns,320ns,110780ns
A dot Product,14934,325172158ns,21773ns,20830ns,65739ns
CG Iteration,14934,1317291908ns,88207ns,61369ns,211039ns
Compute dt,490,362600245ns,740000ns,35350ns,38727630ns
Pressure Solver,490,1348590253ns,2752225ns,130059ns,30938568ns
