Time Step,490,1543901786ns,3150819ns,521527ns,31368346ns
Parallel Broadcast,36728,465740127ns,12680ns,60ns,65600ns
Boundary,15914,6893553ns,433ns,410ns,8420ns
dot Product,14934,262925289ns,17605ns,16960ns,367838ns
Sequential Broadcast,128782,293318896ns,2277ns,70ns,151399ns
Residual Calculation,14934,147750821ns,9893ns,8900ns,72129ns
Reduction,29868,562433997ns,18830ns,16599ns,95430ns
Halo,980,514967ns,525ns,460ns,1460ns
MPI Communication Init,16404,5430474ns,331ns,210ns,9840ns
MPI Communication Wait,16404,8956851ns,546ns,190ns,33120ns
A dot Product,14934,329535276ns,22066ns,20899ns,131400ns
CG Iteration,14934,1317311990ns,88208ns,61209ns,196999ns
Compute dt,490,18403841ns,37558ns,35390ns,59619ns
Pressure Solver,490,1348575252ns,2752194ns,129409ns,30938128ns
