Time Step,490,1968373764ns,4017089ns,778696ns,46569582ns
Parallel Broadcast,32018,599709851ns,18730ns,70ns,92790ns
Boundary,13559,7272180ns,536ns,509ns,4090ns
dot Product,12579,326401029ns,25948ns,25099ns,290158ns
Sequential Broadcast,109942,409291475ns,3722ns,70ns,206409ns
Residual Calculation,12579,173740513ns,13811ns,12870ns,94820ns
Reduction,25158,711297564ns,28273ns,24889ns,92350ns
Halo,980,628619ns,641ns,540ns,4540ns
MPI Communication Init,14049,4722923ns,336ns,210ns,7480ns
MPI Communication Wait,14049,10231625ns,728ns,190ns,52549ns
A dot Product,12579,406962718ns,32352ns,31090ns,92650ns
CG Iteration,12579,1633465982ns,129856ns,90510ns,234449ns
Compute dt,490,26007961ns,53077ns,51489ns,67690ns
Pressure Solver,490,1678486601ns,3425482ns,187469ns,45960165ns
