Time Step,490,2308494549ns,4711213ns,778976ns,50681082ns
Parallel Broadcast,32018,602366624ns,18813ns,59ns,116059ns
Boundary,13559,7219404ns,532ns,499ns,9340ns
dot Product,12579,322482945ns,25636ns,25099ns,42910ns
Sequential Broadcast,109942,414624462ns,3771ns,70ns,330138ns
Residual Calculation,12579,171808885ns,13658ns,12910ns,47910ns
Reduction,25158,718692213ns,28567ns,24889ns,60789ns
Halo,980,621408ns,634ns,530ns,6530ns
MPI Communication Init,14049,4645925ns,330ns,200ns,18950ns
MPI Communication Wait,14049,7851942ns,558ns,170ns,15690ns
A dot Product,12579,406998042ns,32355ns,31109ns,92580ns
CG Iteration,12579,1633368014ns,129848ns,90520ns,234429ns
Compute dt,490,366141467ns,747227ns,51509ns,38083684ns
Pressure Solver,490,1675690765ns,3419777ns,186829ns,45951445ns
