Time Step,1892,121056567946ns,63983386ns,5482058ns,984527355ns
Parallel Broadcast,325790,43690071343ns,134105ns,170ns,1349235ns
Boundary,157219,85737765ns,545ns,420ns,11850ns
dot Product,153435,17566097265ns,114485ns,101939ns,2236152ns
Sequential Broadcast,1106209,14094504170ns,12741ns,159ns,2025933ns
Residual Calculation,153435,11940870001ns,77823ns,52600ns,1246465ns
Reduction,306870,37927557680ns,123594ns,100659ns,407498ns
Halo,3784,18626661ns,4922ns,2260ns,13880ns
MPI Communication Init,159111,236880039ns,1488ns,870ns,87709ns
MPI Communication Wait,159111,1591367202ns,10001ns,1210ns,561258ns
A dot Product,153435,24819063677ns,161756ns,129729ns,485748ns
CG Iteration,153435,105300280185ns,686285ns,451569ns,2123242ns
Compute dt,1892,6931819925ns,3663752ns,258569ns,706833327ns
Pressure Solver,1892,108020351370ns,57093208ns,1888252ns,972055548ns
