Time Step,1892,121082802083ns,63997252ns,5529148ns,987931353ns
Parallel Broadcast,333358,42663115527ns,127979ns,180ns,1446664ns
Boundary,157219,177460505ns,1128ns,890ns,33040ns
dot Product,153435,17664762205ns,115128ns,101979ns,2091863ns
Sequential Broadcast,1263428,14649230685ns,11594ns,160ns,2090762ns
Residual Calculation,153435,12911811678ns,84151ns,52480ns,1285315ns
Reduction,306870,38253570030ns,124657ns,101349ns,418849ns
Halo,3784,18000628ns,4757ns,2140ns,22090ns
MPI Communication Init,159111,134838178ns,847ns,490ns,30690ns
MPI Communication Wait,159111,889920900ns,5593ns,650ns,521908ns
A dot Product,153435,24992070675ns,162883ns,129629ns,504728ns
CG Iteration,153435,105304603771ns,686314ns,448598ns,2122442ns
Compute dt,1892,6977862945ns,3688088ns,254309ns,709790146ns
Pressure Solver,1892,108048606751ns,57108143ns,1891952ns,972017688ns
