Time Step,1892,121013951600ns,63960862ns,5459640ns,986632528ns
Parallel Broadcast,325790,43922784992ns,134819ns,180ns,1645924ns
Boundary,157219,92041536ns,585ns,429ns,77199ns
dot Product,153435,17514159684ns,114147ns,102400ns,2196263ns
Sequential Broadcast,1106209,14131613504ns,12774ns,160ns,2025533ns
Residual Calculation,153435,12013190211ns,78294ns,52500ns,1215356ns
Reduction,306870,38219043293ns,124544ns,100559ns,414898ns
Halo,3784,19135501ns,5056ns,2020ns,17980ns
MPI Communication Init,159111,263183095ns,1654ns,890ns,87220ns
MPI Communication Wait,159111,1403325147ns,8819ns,1180ns,420238ns
A dot Product,153435,24713553378ns,161068ns,128849ns,479328ns
CG Iteration,153435,105298111923ns,686271ns,451438ns,2119982ns
Compute dt,1892,6857486002ns,3624464ns,247509ns,701885334ns
Pressure Solver,1892,108273025819ns,57226757ns,1957082ns,972188468ns
