Time Step,1892,150046110407ns,79305555ns,5685071ns,1046883747ns
Parallel Broadcast,371812,55818263542ns,150124ns,200ns,1437055ns
Boundary,180230,107451389ns,596ns,470ns,28670ns
dot Product,176446,22787294192ns,129145ns,115549ns,2475881ns
Sequential Broadcast,1267286,16578857148ns,13082ns,180ns,2071143ns
Residual Calculation,176446,15115033344ns,85663ns,59450ns,1116467ns
Reduction,352892,49135514015ns,139236ns,112619ns,495958ns
Halo,3784,19318462ns,5105ns,2160ns,18530ns
MPI Communication Init,182122,279630397ns,1535ns,880ns,65980ns
MPI Communication Wait,182122,1558073371ns,8555ns,1160ns,617047ns
A dot Product,176446,30828255036ns,174717ns,144980ns,532619ns
CG Iteration,176446,133995961640ns,759416ns,511339ns,2186784ns
Compute dt,1892,6855163785ns,3623236ns,288919ns,676103055ns
Pressure Solver,1892,136963160898ns,72390677ns,2061343ns,1037135984ns
