Time Step,1892,150063527217ns,79314760ns,5684921ns,1047033407ns
Parallel Broadcast,379380,56496450617ns,148917ns,190ns,1627275ns
Boundary,180230,209035159ns,1159ns,920ns,57150ns
dot Product,176446,22760481048ns,128994ns,115639ns,2465072ns
Sequential Broadcast,1447516,16874313473ns,11657ns,180ns,2020553ns
Residual Calculation,176446,14419550001ns,81722ns,59680ns,1115337ns
Reduction,352892,50013988428ns,141726ns,114889ns,445269ns
Halo,3784,19406025ns,5128ns,2420ns,25280ns
MPI Communication Init,182122,156912856ns,861ns,450ns,85770ns
MPI Communication Wait,182122,1207510815ns,6630ns,660ns,540628ns
A dot Product,176446,31055916230ns,176008ns,144800ns,599418ns
CG Iteration,176446,133999311765ns,759435ns,508959ns,2187454ns
Compute dt,1892,6864287633ns,3628059ns,264039ns,678018379ns
Pressure Solver,1892,136903414241ns,72359098ns,2033874ns,1037155454ns
