Time Step,1892,150057595684ns,79311625ns,5684481ns,1049133921ns
Parallel Broadcast,371812,55395677822ns,148988ns,200ns,1513255ns
Boundary,180230,106017146ns,588ns,460ns,45740ns
dot Product,176446,22745199561ns,128907ns,115749ns,2372852ns
Sequential Broadcast,1267286,16563673518ns,13070ns,180ns,2093164ns
Residual Calculation,176446,15593349572ns,88374ns,59589ns,1307507ns
Reduction,352892,49164347783ns,139318ns,112640ns,494259ns
Halo,3784,19705375ns,5207ns,2420ns,36270ns
MPI Communication Init,182122,307028711ns,1685ns,870ns,60429ns
MPI Communication Wait,182122,1535948043ns,8433ns,1650ns,557989ns
A dot Product,176446,30858277333ns,174887ns,144480ns,599028ns
CG Iteration,176446,133996936362ns,759421ns,509959ns,2187364ns
Compute dt,1892,6844488844ns,3617594ns,265689ns,677100452ns
Pressure Solver,1892,136969372792ns,72393960ns,2023823ns,1037177844ns
