Time Step,1892,150028063904ns,79296016ns,5687291ns,1049029611ns
Parallel Broadcast,371812,55340250171ns,148839ns,200ns,1454875ns
Boundary,180230,107271072ns,595ns,470ns,55589ns
dot Product,176446,22793340555ns,129180ns,115689ns,2507352ns
Sequential Broadcast,1267286,16553379054ns,13062ns,180ns,1945864ns
Residual Calculation,176446,15583046941ns,88316ns,58830ns,1146127ns
Reduction,352892,49170213045ns,139335ns,112579ns,486498ns
Halo,3784,19244324ns,5085ns,2190ns,73300ns
MPI Communication Init,182122,277848029ns,1525ns,870ns,102930ns
MPI Communication Wait,182122,1495351836ns,8210ns,1200ns,575269ns
A dot Product,176446,30917369478ns,175222ns,145210ns,541998ns
CG Iteration,176446,133993931523ns,759404ns,510899ns,2188994ns
Compute dt,1892,6841030889ns,3615766ns,265559ns,673832182ns
Pressure Solver,1892,136959400409ns,72388689ns,2080123ns,1037173154ns
