Time Step,1892,144090461506ns,76157749ns,5586041ns,1040838253ns
Parallel Broadcast,379380,55752351461ns,146956ns,180ns,1585265ns
Boundary,180230,203514737ns,1129ns,920ns,55670ns
dot Product,176446,22746872292ns,128916ns,115589ns,2487572ns
Sequential Broadcast,1447516,16684951423ns,11526ns,170ns,2150503ns
Residual Calculation,176446,15223057006ns,86276ns,59650ns,1330017ns
Reduction,352892,49382631121ns,139936ns,113379ns,474078ns
Halo,3784,19820433ns,5237ns,2400ns,99029ns
MPI Communication Init,182122,177676269ns,975ns,490ns,56650ns
MPI Communication Wait,182122,929780384ns,5105ns,660ns,528238ns
A dot Product,176446,31439815472ns,178183ns,144730ns,601418ns
CG Iteration,176446,134002337264ns,759452ns,509069ns,2183514ns
Compute dt,1892,912215380ns,482143ns,273139ns,1040597ns
Pressure Solver,1892,136944733913ns,72380937ns,2039283ns,1037190564ns
