Time Step,1892,964649927552ns,509857255ns,28818555ns,6311735877ns
Parallel Broadcast,430014,420555642591ns,978004ns,180ns,6828582ns
Boundary,201763,847117447ns,4198ns,3470ns,37110ns
dot Product,197979,156879725013ns,792405ns,787527ns,1065683ns
Sequential Broadcast,1821543,106370754768ns,58395ns,280ns,10632398ns
Residual Calculation,197979,78856377009ns,398306ns,394644ns,673644ns
Reduction,395958,355264686811ns,897228ns,787397ns,1997552ns
Halo,3784,44904488ns,11866ns,5899ns,57119ns
MPI Communication Init,203655,5164052ns,25ns,19ns,5930ns
MPI Communication Wait,203655,35886952ns,176ns,40ns,200077ns
A dot Product,197979,198467553006ns,1002467ns,988325ns,1998422ns
CG Iteration,197979,916327400949ns,4628407ns,3307541ns,12194133ns
Compute dt,1892,3076044288ns,1625816ns,1590135ns,1882832ns
Pressure Solver,1892,928839280103ns,490929852ns,9948601ns,6293013972ns
