Time Step,490,1022475203ns,2086684ns,292838ns,42340021ns
Parallel Broadcast,26606,180338258ns,6778ns,30ns,45159ns
Boundary,11833,3542819ns,299ns,270ns,15050ns
dot Product,10853,108343676ns,9982ns,8860ns,145689ns
Sequential Broadcast,84301,141913159ns,1683ns,30ns,113719ns
Residual Calculation,10853,62527883ns,5761ns,4720ns,68020ns
Reduction,21706,219812969ns,10126ns,8400ns,38019ns
Halo,980,531958ns,542ns,470ns,3840ns
MPI Communication Init,12323,5237188ns,424ns,320ns,26460ns
MPI Communication Wait,12323,9900706ns,803ns,220ns,24670ns
A dot Product,10853,136646971ns,12590ns,11030ns,194009ns
CG Iteration,10853,538566531ns,49623ns,33299ns,229779ns
Compute dt,490,368935159ns,752928ns,19670ns,40253652ns
Pressure Solver,490,558008572ns,1138793ns,75459ns,17215375ns
