Time Step,490,1025074773ns,2091989ns,294428ns,42685300ns
Parallel Broadcast,24646,173253583ns,7029ns,30ns,32080ns
Boundary,11833,1261632ns,106ns,99ns,870ns
dot Product,10853,107596331ns,9913ns,8810ns,141149ns
Sequential Broadcast,72468,139959523ns,1931ns,30ns,137599ns
Residual Calculation,10853,68950422ns,6353ns,4930ns,68650ns
Reduction,21706,215634234ns,9934ns,8209ns,82590ns
Halo,980,529788ns,540ns,450ns,3250ns
MPI Communication Init,12323,7894129ns,640ns,500ns,45350ns
MPI Communication Wait,12323,11389687ns,924ns,330ns,36589ns
A dot Product,10853,136000283ns,12531ns,10890ns,193949ns
CG Iteration,10853,538567312ns,49623ns,33290ns,229839ns
Compute dt,490,371873471ns,758925ns,20080ns,40463561ns
Pressure Solver,490,557348316ns,1137445ns,75679ns,17215255ns
