Time Step,490,1026299527ns,2094488ns,292398ns,42849639ns
Parallel Broadcast,26606,180166950ns,6771ns,30ns,50560ns
Boundary,11833,3472020ns,293ns,269ns,6030ns
dot Product,10853,108693805ns,10015ns,8890ns,142689ns
Sequential Broadcast,84301,141480974ns,1678ns,30ns,126229ns
Residual Calculation,10853,62629598ns,5770ns,4670ns,68080ns
Reduction,21706,219425296ns,10108ns,8399ns,30370ns
Halo,980,517038ns,527ns,460ns,3380ns
MPI Communication Init,12323,5157463ns,418ns,310ns,31320ns
MPI Communication Wait,12323,9109575ns,739ns,210ns,41510ns
A dot Product,10853,137307695ns,12651ns,10980ns,193989ns
CG Iteration,10853,538629892ns,49629ns,33319ns,229729ns
Compute dt,490,373115639ns,761460ns,19830ns,40424881ns
Pressure Solver,490,558034106ns,1138845ns,75509ns,17216315ns
