Time Step,490,1025274633ns,2092397ns,292588ns,42675110ns
Parallel Broadcast,26606,173696340ns,6528ns,30ns,76560ns
Boundary,11833,3363730ns,284ns,250ns,62380ns
dot Product,10853,109713514ns,10109ns,8870ns,147579ns
Sequential Broadcast,84301,139638604ns,1656ns,30ns,124779ns
Residual Calculation,10853,68611715ns,6321ns,4760ns,68410ns
Reduction,21706,217242357ns,10008ns,8300ns,193409ns
Halo,980,526238ns,536ns,450ns,2720ns
MPI Communication Init,12323,5006702ns,406ns,320ns,41810ns
MPI Communication Wait,12323,9845953ns,798ns,220ns,39460ns
A dot Product,10853,137965819ns,12712ns,10870ns,193989ns
CG Iteration,10853,538643931ns,49630ns,33320ns,229869ns
Compute dt,490,372131701ns,759452ns,19760ns,40576920ns
Pressure Solver,490,558889166ns,1140590ns,65849ns,17211195ns
