Time Step,490,664499053ns,1356120ns,294388ns,17497564ns
Parallel Broadcast,26606,170742399ns,6417ns,30ns,33040ns
Boundary,11833,3214874ns,271ns,249ns,6400ns
dot Product,10853,109561422ns,10095ns,8800ns,117709ns
Sequential Broadcast,84301,139252287ns,1651ns,30ns,142019ns
Residual Calculation,10853,71809214ns,6616ns,4980ns,68850ns
Reduction,21706,215757628ns,9939ns,8300ns,96610ns
Halo,980,520088ns,530ns,450ns,3490ns
MPI Communication Init,12323,5019052ns,407ns,310ns,22480ns
MPI Communication Wait,12323,9473339ns,768ns,210ns,60080ns
A dot Product,10853,139050013ns,12812ns,11050ns,194169ns
CG Iteration,10853,538575466ns,49624ns,33189ns,229879ns
Compute dt,490,11266464ns,22992ns,19970ns,57380ns
Pressure Solver,490,559053712ns,1140925ns,77949ns,17217815ns
