Time Step,490,631577221ns,1288933ns,313868ns,21721663ns
Parallel Broadcast,32726,155487588ns,4751ns,60ns,37100ns
Boundary,13913,4798645ns,344ns,310ns,3300ns
dot Product,12933,107122705ns,8282ns,7020ns,225979ns
Sequential Broadcast,112774,114865872ns,1018ns,40ns,109229ns
Residual Calculation,12933,74893956ns,5790ns,4010ns,152370ns
Reduction,25866,198567942ns,7676ns,6380ns,30890ns
Halo,980,448776ns,457ns,380ns,3340ns
MPI Communication Init,14403,4593739ns,318ns,190ns,4700ns
MPI Communication Wait,14403,10677724ns,741ns,180ns,53860ns
A dot Product,12933,143697824ns,11110ns,8630ns,77950ns
CG Iteration,12933,528355859ns,40853ns,25710ns,198519ns
Compute dt,490,10012419ns,20433ns,16310ns,84720ns
Pressure Solver,490,548438319ns,1119261ns,120179ns,21503504ns
