Time Step,490,1005342532ns,2051719ns,314348ns,44425501ns
Parallel Broadcast,30766,156840141ns,5097ns,50ns,90159ns
Boundary,13913,2713403ns,195ns,170ns,2980ns
dot Product,12933,106466526ns,8232ns,7000ns,240559ns
Sequential Broadcast,98861,114136096ns,1154ns,40ns,93360ns
Residual Calculation,12933,73053393ns,5648ns,3970ns,141820ns
Reduction,25866,196319783ns,7589ns,6190ns,27110ns
Halo,980,435977ns,444ns,380ns,3510ns
MPI Communication Init,14403,9031590ns,627ns,360ns,28080ns
MPI Communication Wait,14403,11771124ns,817ns,290ns,69410ns
A dot Product,12933,140111208ns,10833ns,8590ns,77690ns
CG Iteration,12933,528366524ns,40854ns,25760ns,199060ns
Compute dt,490,383795219ns,783255ns,16400ns,41905404ns
Pressure Solver,490,548115348ns,1118602ns,135359ns,21388865ns
