Time Step,490,1006492507ns,2054066ns,314878ns,44589020ns
Parallel Broadcast,32726,161215437ns,4926ns,60ns,42709ns
Boundary,13913,4989020ns,358ns,320ns,3000ns
dot Product,12933,105332862ns,8144ns,7000ns,242309ns
Sequential Broadcast,112774,118317748ns,1049ns,40ns,141979ns
Residual Calculation,12933,69199979ns,5350ns,4000ns,139920ns
Reduction,25866,203396734ns,7863ns,6380ns,23430ns
Halo,980,434428ns,443ns,380ns,3630ns
MPI Communication Init,14403,4373361ns,303ns,210ns,3450ns
MPI Communication Wait,14403,11088356ns,769ns,200ns,25869ns
A dot Product,12933,142121840ns,10989ns,8690ns,77819ns
CG Iteration,12933,528369318ns,40854ns,25630ns,197839ns
Compute dt,490,384555506ns,784807ns,16370ns,42069503ns
Pressure Solver,490,547007552ns,1116341ns,83880ns,21394995ns
