Time Step,490,1002490587ns,2045899ns,303798ns,44048153ns
Parallel Broadcast,30766,156681205ns,5092ns,50ns,64299ns
Boundary,13913,2675108ns,192ns,170ns,8740ns
dot Product,12933,104762040ns,8100ns,7070ns,239999ns
Sequential Broadcast,98861,115609634ns,1169ns,40ns,90459ns
Residual Calculation,12933,73468761ns,5680ns,3980ns,152310ns
Reduction,25866,197830305ns,7648ns,6180ns,28320ns
Halo,980,458317ns,467ns,389ns,6580ns
MPI Communication Init,14403,9189030ns,637ns,390ns,10910ns
MPI Communication Wait,14403,13028700ns,904ns,310ns,60540ns
A dot Product,12933,139395528ns,10778ns,8630ns,77789ns
CG Iteration,12933,528238895ns,40844ns,25740ns,198249ns
Compute dt,490,380522606ns,776576ns,16400ns,41533775ns
Pressure Solver,490,546906486ns,1116135ns,133799ns,21502234ns
