Time Step,490,1005706991ns,2052463ns,314548ns,44486620ns
Parallel Broadcast,30766,156767242ns,5095ns,50ns,40019ns
Boundary,13913,2661089ns,191ns,170ns,2690ns
dot Product,12933,104517664ns,8081ns,6960ns,176109ns
Sequential Broadcast,98861,115621654ns,1169ns,40ns,181289ns
Residual Calculation,12933,73409163ns,5676ns,4010ns,141760ns
Reduction,25866,197547022ns,7637ns,6190ns,26040ns
Halo,980,446497ns,455ns,390ns,3930ns
MPI Communication Init,14403,9427116ns,654ns,360ns,28580ns
MPI Communication Wait,14403,13337471ns,926ns,300ns,30849ns
A dot Product,12933,138743281ns,10727ns,8639ns,77749ns
CG Iteration,12933,528280024ns,40847ns,25850ns,198820ns
Compute dt,490,383804831ns,783275ns,16370ns,41968073ns
Pressure Solver,490,546880404ns,1116082ns,117429ns,21388005ns
