Time Step,490,1058307953ns,2159812ns,260858ns,44171302ns
Parallel Broadcast,30230,171608229ns,5676ns,60ns,28510ns
Boundary,13645,2639638ns,193ns,179ns,4270ns
dot Product,12665,123208120ns,9728ns,7560ns,166760ns
Sequential Broadcast,96985,124124782ns,1279ns,40ns,106260ns
Residual Calculation,12665,83318416ns,6578ns,4340ns,132149ns
Reduction,25330,212406181ns,8385ns,6950ns,23410ns
Halo,980,428310ns,437ns,380ns,2700ns
MPI Communication Init,14135,8512694ns,602ns,370ns,27190ns
MPI Communication Wait,14135,11979864ns,847ns,300ns,20199ns
A dot Product,12665,150404229ns,11875ns,9680ns,81090ns
CG Iteration,12665,577867220ns,45627ns,30339ns,181829ns
Compute dt,490,375349330ns,766019ns,18610ns,40801849ns
Pressure Solver,490,601554921ns,1227663ns,73289ns,18132341ns
