Time Step,962,17258576545ns,17940308ns,2229010ns,273827094ns
Parallel Broadcast,93536,6508297728ns,69580ns,90ns,480708ns
Boundary,41958,32786163ns,781ns,730ns,15820ns
dot Product,40034,2770287408ns,69198ns,66260ns,799207ns
Sequential Broadcast,338550,2602765253ns,7687ns,130ns,943945ns
Residual Calculation,40034,1544416276ns,38577ns,33840ns,237939ns
Reduction,80068,6052180226ns,75588ns,65720ns,281099ns
Halo,1924,3178759ns,1652ns,800ns,9860ns
MPI Communication Init,42920,17671927ns,411ns,250ns,6630ns
MPI Communication Wait,42920,166585122ns,3881ns,310ns,97699ns
A dot Product,40034,3464660361ns,86542ns,83039ns,245089ns
CG Iteration,40034,15395233986ns,384553ns,280789ns,708677ns
Compute dt,962,141440531ns,147027ns,136919ns,341548ns
Pressure Solver,962,15721969252ns,16343003ns,645247ns,272151441ns
