Time Step,962,18743626176ns,19484018ns,2231560ns,275666685ns
Parallel Broadcast,89688,6483461302ns,72289ns,220ns,529288ns
Boundary,41958,21857470ns,520ns,480ns,12959ns
dot Product,40034,2779466891ns,69427ns,66420ns,1150994ns
Sequential Broadcast,296592,2592071921ns,8739ns,130ns,1242094ns
Residual Calculation,40034,1562287061ns,39024ns,33799ns,233649ns
Reduction,80068,6024374001ns,75240ns,65339ns,287729ns
Halo,1924,3252097ns,1690ns,770ns,6220ns
MPI Communication Init,42920,28444586ns,662ns,510ns,34799ns
MPI Communication Wait,42920,195633406ns,4558ns,520ns,137359ns
A dot Product,40034,3441602604ns,85966ns,82230ns,225379ns
CG Iteration,40034,15395585039ns,384562ns,280779ns,681026ns
Compute dt,962,1622566797ns,1686659ns,136759ns,167873374ns
Pressure Solver,962,15724340806ns,16345468ns,648147ns,272163381ns
