Time Step,962,11742915844ns,12206773ns,1218335ns,191705329ns
Parallel Broadcast,106912,3255593303ns,30451ns,40ns,302308ns
Boundary,50570,23346543ns,461ns,419ns,35920ns
dot Product,48646,1861779261ns,38271ns,33870ns,672327ns
Sequential Broadcast,356876,1534729584ns,4300ns,50ns,386588ns
Residual Calculation,48646,1053459767ns,21655ns,17460ns,165719ns
Reduction,97292,3864014378ns,39715ns,33019ns,282459ns
Halo,1924,2258227ns,1173ns,780ns,7849ns
MPI Communication Init,51532,37967159ns,736ns,540ns,42060ns
MPI Communication Wait,51532,85601743ns,1661ns,370ns,123000ns
A dot Product,48646,2344571561ns,48196ns,42320ns,313589ns
CG Iteration,48646,9272932970ns,190620ns,127509ns,507678ns
Compute dt,962,1525309990ns,1585561ns,71879ns,171166663ns
Pressure Solver,962,9476338129ns,9850663ns,258899ns,133427971ns
