Time Step,962,11747263780ns,12211292ns,1211844ns,192238506ns
Parallel Broadcast,106912,3214900881ns,30070ns,40ns,343368ns
Boundary,50570,25356011ns,501ns,460ns,17750ns
dot Product,48646,1858763807ns,38210ns,33860ns,666267ns
Sequential Broadcast,356876,1550052659ns,4343ns,50ns,721167ns
Residual Calculation,48646,1093204997ns,22472ns,17540ns,166809ns
Reduction,97292,3893732444ns,40021ns,33409ns,287749ns
Halo,1924,2330484ns,1211ns,760ns,9169ns
MPI Communication Init,51532,37525200ns,728ns,530ns,87540ns
MPI Communication Wait,51532,71172549ns,1381ns,360ns,122450ns
A dot Product,48646,2347193124ns,48250ns,42290ns,313689ns
CG Iteration,48646,9273021717ns,190622ns,127260ns,507538ns
Compute dt,962,1530529865ns,1590987ns,72219ns,171669360ns
Pressure Solver,962,9472247700ns,9846411ns,356428ns,133420881ns
