Time Step,962,11737964225ns,12201626ns,1218385ns,191187101ns
Parallel Broadcast,103064,3220063026ns,31243ns,40ns,301518ns
Boundary,50570,7351156ns,145ns,129ns,5970ns
dot Product,48646,1796032286ns,36920ns,33710ns,583007ns
Sequential Broadcast,306306,1573781577ns,5137ns,50ns,774496ns
Residual Calculation,48646,1096463912ns,22539ns,17820ns,166499ns
Reduction,97292,3838441284ns,39452ns,32829ns,285489ns
Halo,1924,2272997ns,1181ns,800ns,8609ns
MPI Communication Init,51532,60505380ns,1174ns,860ns,90010ns
MPI Communication Wait,51532,92892127ns,1802ns,540ns,122460ns
A dot Product,48646,2334557687ns,47990ns,42320ns,314169ns
CG Iteration,48646,9272704220ns,190615ns,127639ns,507598ns
Compute dt,962,1520735049ns,1580805ns,73310ns,170641215ns
Pressure Solver,962,9421781753ns,9793951ns,304338ns,133379791ns
