Time Step,962,10247362736ns,10652144ns,1328954ns,174488644ns
Parallel Broadcast,87436,3733695804ns,42702ns,100ns,331678ns
Boundary,38908,25198106ns,647ns,590ns,60500ns
dot Product,36984,1629643639ns,44063ns,40449ns,674597ns
Sequential Broadcast,314150,1582120807ns,5036ns,100ns,480448ns
Residual Calculation,36984,911056672ns,24633ns,20890ns,248439ns
Reduction,73968,3494362254ns,47241ns,39600ns,167139ns
Halo,1924,2273019ns,1181ns,660ns,19200ns
MPI Communication Init,39870,18140334ns,454ns,260ns,15340ns
MPI Communication Wait,39870,162056810ns,4064ns,320ns,94289ns
A dot Product,36984,2082506642ns,56308ns,50189ns,189340ns
CG Iteration,36984,9084501166ns,245633ns,174219ns,549228ns
Compute dt,962,91974867ns,95607ns,86700ns,209979ns
Pressure Solver,962,9275421522ns,9641810ns,339958ns,173267750ns
