Time Step,962,11661462411ns,12122102ns,1330994ns,197199018ns
Parallel Broadcast,83588,3664854289ns,43844ns,140ns,301518ns
Boundary,38908,14107990ns,362ns,330ns,11140ns
dot Product,36984,1644817846ns,44473ns,40480ns,680667ns
Sequential Broadcast,275242,1570729095ns,5706ns,100ns,606688ns
Residual Calculation,36984,965428049ns,26103ns,20970ns,239769ns
Reduction,73968,3461937963ns,46803ns,39210ns,138679ns
Halo,1924,2236230ns,1162ns,660ns,10439ns
MPI Communication Init,39870,28621975ns,717ns,520ns,45130ns
MPI Communication Wait,39870,186106515ns,4667ns,530ns,101100ns
A dot Product,36984,2062077479ns,55755ns,50009ns,188830ns
CG Iteration,36984,9084467752ns,245632ns,174409ns,549548ns
Compute dt,962,1504521681ns,1563951ns,86240ns,165061987ns
Pressure Solver,962,9276926648ns,9643374ns,323998ns,173348000ns
