Time Step,1892,381388443996ns,201579515ns,10245317ns,2205387294ns
Parallel Broadcast,487186,162003434378ns,332528ns,180ns,2595317ns
Boundary,234133,370211897ns,1581ns,1320ns,32581ns
dot Product,230349,62759758855ns,272455ns,263555ns,3414555ns
Sequential Broadcast,1878740,40169971332ns,21381ns,360ns,2955052ns
Residual Calculation,230349,33689637889ns,146254ns,133103ns,1919966ns
Reduction,460698,139749617044ns,303343ns,262555ns,820338ns
Halo,3784,22531730ns,5954ns,2941ns,43170ns
MPI Communication Init,236025,221166097ns,937ns,460ns,24571ns
MPI Communication Wait,236025,1143960785ns,4846ns,700ns,528381ns
A dot Product,230349,79902020866ns,346873ns,331643ns,889314ns
CG Iteration,230349,363731087814ns,1579043ns,1126409ns,4704542ns
Compute dt,1892,1168697302ns,617704ns,548808ns,1050779ns
Pressure Solver,1892,368790957092ns,194921224ns,3603369ns,2198747830ns
