Time Step,1892,335794172568ns,177481063ns,14888027ns,3339610521ns
Parallel Broadcast,288078,140234578267ns,486793ns,180ns,3746434ns
Boundary,134579,301350216ns,2239ns,1820ns,28381ns
dot Product,130795,53254876346ns,407162ns,394238ns,1698486ns
Sequential Broadcast,1082308,40986856341ns,37869ns,350ns,5467891ns
Residual Calculation,130795,30840077190ns,235789ns,198736ns,2720793ns
Reduction,261590,118333531070ns,452362ns,393799ns,1027003ns
Halo,3784,23354418ns,6171ns,3560ns,43802ns
MPI Communication Init,136471,138872990ns,1017ns,460ns,10671ns
MPI Communication Wait,136471,1237020377ns,9064ns,610ns,692086ns
A dot Product,130795,67309007093ns,514614ns,494686ns,1082290ns
CG Iteration,130795,310490331914ns,2373870ns,1679673ns,6498164ns
Compute dt,1892,1588553074ns,839615ns,809687ns,1072378ns
Pressure Solver,1892,317450271247ns,167785555ns,5198767ns,3330089186ns
