Time Step,962,7129124751ns,7410732ns,852656ns,185151980ns
Parallel Broadcast,68316,1886673046ns,27616ns,100ns,178800ns
Boundary,31272,9696989ns,310ns,270ns,43360ns
dot Product,29348,857753602ns,29226ns,26130ns,673277ns
Sequential Broadcast,221790,929346838ns,4190ns,70ns,363719ns
Residual Calculation,29348,550673539ns,18763ns,13970ns,262889ns
Reduction,58696,1783794529ns,30390ns,25559ns,133349ns
Halo,1924,1644403ns,854ns,640ns,4410ns
MPI Communication Init,32234,27136255ns,841ns,520ns,177489ns
MPI Communication Wait,32234,147782053ns,4584ns,530ns,105390ns
A dot Product,29348,1145611343ns,39035ns,32770ns,306409ns
CG Iteration,29348,4867768508ns,165863ns,114160ns,461658ns
Compute dt,962,1551364091ns,1612644ns,56840ns,180791741ns
Pressure Solver,962,5001102850ns,5198651ns,213529ns,121608320ns
