Time Step,962,7123539785ns,7404927ns,852786ns,184594283ns
Parallel Broadcast,68316,1855186043ns,27155ns,100ns,200310ns
Boundary,31272,8863785ns,283ns,250ns,4110ns
dot Product,29348,850717719ns,28987ns,26170ns,675187ns
Sequential Broadcast,221790,925453395ns,4172ns,70ns,396488ns
Residual Calculation,29348,587571296ns,20020ns,14000ns,263749ns
Reduction,58696,1774786478ns,30236ns,25559ns,84059ns
Halo,1924,1678144ns,872ns,600ns,5730ns
MPI Communication Init,32234,32743248ns,1015ns,570ns,20490ns
MPI Communication Wait,32234,147839679ns,4586ns,550ns,110699ns
A dot Product,29348,1153822295ns,39315ns,32650ns,289359ns
CG Iteration,29348,4868615289ns,165892ns,114099ns,456808ns
Compute dt,962,1545184818ns,1606221ns,56400ns,180230254ns
Pressure Solver,962,5000940991ns,5198483ns,215129ns,121358922ns
