Time Step,962,7133250489ns,7415021ns,852746ns,185588218ns
Parallel Broadcast,68316,1899239484ns,27800ns,100ns,200690ns
Boundary,31272,8702270ns,278ns,249ns,4690ns
dot Product,29348,852719463ns,29055ns,26390ns,667237ns
Sequential Broadcast,221790,932572157ns,4204ns,70ns,534858ns
Residual Calculation,29348,540180782ns,18406ns,14070ns,262619ns
Reduction,58696,1790499764ns,30504ns,25559ns,96380ns
Halo,1924,1662213ns,863ns,600ns,3830ns
MPI Communication Init,32234,26698598ns,828ns,510ns,29900ns
MPI Communication Wait,32234,151256568ns,4692ns,540ns,194829ns
A dot Product,29348,1150049046ns,39186ns,32510ns,297939ns
CG Iteration,29348,4868754687ns,165897ns,114339ns,458948ns
Compute dt,962,1554685881ns,1616097ns,56890ns,181186409ns
Pressure Solver,962,4998273276ns,5195710ns,214539ns,121609450ns
