Time Step,962,7116921556ns,7398047ns,852976ns,183819957ns
Parallel Broadcast,68316,1875337693ns,27450ns,100ns,224189ns
Boundary,31272,8548619ns,273ns,240ns,3840ns
dot Product,29348,854631154ns,29120ns,26360ns,677117ns
Sequential Broadcast,221790,924374082ns,4167ns,70ns,400448ns
Residual Calculation,29348,566112633ns,19289ns,13980ns,263149ns
Reduction,58696,1778521504ns,30300ns,25559ns,80589ns
Halo,1924,1652523ns,858ns,599ns,10540ns
MPI Communication Init,32234,30926760ns,959ns,570ns,82419ns
MPI Communication Wait,32234,149722922ns,4644ns,560ns,188839ns
A dot Product,29348,1150338620ns,39196ns,32530ns,290439ns
CG Iteration,29348,4868538388ns,165889ns,114340ns,458888ns
Compute dt,962,1538935406ns,1599724ns,57130ns,179421048ns
Pressure Solver,962,5002775208ns,5200390ns,215709ns,121590570ns
